模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
LXL-1-0-02,LXL-02-30-02,,,,,铁,,,,,
LXL-1-0-03,LXL-02-30-03,,,,,铁,,,,,
LXL-1-0-04,LXL-02-30-04,,,,,铁,,,,,
LXL-1-0-05,LXL-02-30-05,,,,,铁,,,,,
LXL-1-0-06,LXL-02-30-06,,,,,铁,,,,,
LXL-1-0-07,LXL-02-30-07,,,,,铁,,,,,
LXL-1-0-08,LXL-02-30-08,,,,,铁,,,,,
AXGT-5-0-01,AXGT-05-30-01,,,,,铁,,,,,
AXGT-5-0-02,AXGT-05-30-02,,,,,铁,,,,,
AXGT-5-0-03,AXGT-05-30-03,,,,,铁,,,,,
AXGT-5-0-04,AXGT-05-30-04,,,,,铁,,,,,
AXGT-5-0-05,AXGT-05-30-05,,,,,铁,,,,,
AXGT-5-0-06,AXGT-05-30-06,,,,,铁,,,,,
AXGT-5-0-07,AXGT-05-30-07,,,,,铁,,,,,
AXGT-5-0-08,AXGT-05-30-08,,,,,铁,,,,,
AXGT-6-0-01,AXGT-06-30-01,,,,,铁,,,,,
AXGT-6-0-02,AXGT-06-30-02,,,,,铁,,,,,
AXGT-6-0-03,AXGT-06-30-03,,,,,铁,,,,,
AXGT-6-0-04,AXGT-06-30-04,,,,,铁,,,,,
AXGT-6-0-05,AXGT-06-30-05,,,,,铁,,,,,
AXGT-6-0-06,AXGT-06-30-06,,,,,铁,,,,,
AXGT-6-0-07,AXGT-06-30-07,,,,,铁,,,,,
AXGT-6-0-08,AXGT-06-30-08,,,,,铁,,,,,
AXGT-7-0-01,AXGT-07-30-01,,,,,铁,,,,,
AXGT-7-0-02,AXGT-07-30-02,,,,,铁,,,,,
AXGT-7-0-03,AXGT-07-30-03,,,,,铁,,,,,
AXGT-7-0-04,AXGT-07-30-04,,,,,铁,,,,,
AXGT-7-0-05,AXGT-07-30-05,,,,,铁,,,,,
AXGT-7-0-06,AXGT-07-30-06,,,,,铁,,,,,
AXGT-7-0-07,AXGT-07-30-07,,,,,铁,,,,,
AXGT-7-0-08,AXGT-07-30-08,,,,,铁,,,,,
ZGT-2-0-01,ZGT-02-30-01,,,,,铁,,,,,
ZGT-2-0-02,ZGT-02-30-02,,,,,铁,,,,,
ZGT-2-0-03,ZGT-02-30-03,,,,,铁,,,,,
ZGT-2-0-04,ZGT-02-30-04,,,,,铁,,,,,
ZGT-2-0-05,ZGT-02-30-05,,,,,铁,,,,,
ZGT-2-0-06,ZGT-02-30-06,,,,,铁,,,,,
ZGT-2-0-07,ZGT-02-30-07,,,,,铁,,,,,
ZGT-2-0-08,ZGT-02-30-08,,,,,铁,,,,,
ZGT-3-0-01,ZGT-03-30-01,,,,,铁,,,,,
ZGT-3-0-02,ZGT-03-30-02,,,,,铁,,,,,
ZGT-3-0-03,ZGT-03-30-03,,,,,铁,,,,,
ZGT-3-0-04,ZGT-03-30-04,,,,,铁,,,,,
ZGT-3-0-05,ZGT-03-30-05,,,,,铁,,,,,
ZGT-3-0-06,ZGT-03-30-06,,,,,铁,,,,,
ZGT-3-0-07,ZGT-03-30-07,,,,,铁,,,,,
ZGT-3-0-08,ZGT-03-30-08,,,,,铁,,,,,
YZL-1-0-01,YZL-01-30-01,,,,,铁,,,,,
YZL-1-0-02,YZL-01-30-02,,,,,铁,,,,,
YZL-1-0-03,YZL-01-30-03,,,,,铁,,,,,
YZL-1-0-04,YZL-01-30-04,,,,,铁,,,,,
YZL-1-0-05,YZL-01-30-05,,,,,铁,,,,,
YZL-1-0-06,YZL-01-30-06,,,,,铁,,,,,
YZL-1-0-07,YZL-01-30-07,,,,,铁,,,,,
YZL-1-0-08,YZL-01-30-08,,,,,铁,,,,,
SXL-3-0-01,SXL-03-30-01,,,,,铁,,,,,
SXL-3-0-02,SXL-03-30-02,,,,,铁,,,,,
SXL-3-0-03,SXL-03-30-03,,,,,铁,,,,,
SXL-3-0-04,SXL-03-30-04,,,,,铁,,,,,
SXL-3-0-05,SXL-03-30-05,,,,,铁,,,,,
SXL-3-0-06,SXL-03-30-06,,,,,铁,,,,,
SXL-3-0-07,SXL-03-30-07,,,,,铁,,,,,
SXL-3-0-08,SXL-03-30-08,,,,,铁,,,,,
GB-1-0-01,GB-01-30-01,,,,,铁,,,,,
GB-1-0-02,GB-01-30-02,,,,,铁,,,,,
GB-1-0-03,GB-01-30-03,,,,,铁,,,,,
GB-1-0-04,GB-01-30-04,,,,,铁,,,,,
GB-1-0-05,GB-01-30-05,,,,,铁,,,,,
GB-1-0-06,GB-01-30-06,,,,,铁,,,,,
GB-1-0-07,GB-01-30-07,,,,,铁,,,,,
GB-1-0-08,GB-01-30-08,,,,,铁,,,,,
TUXL-1-0-01,TUXL-01-30-01,,,,,铁,,,,,
TUXL-1-0-02,TUXL-01-30-02,,,,,铁,,,,,
TUXL-1-0-03,TUXL-01-30-03,,,,,铁,,,,,
TUXL-1-0-04,TUXL-01-30-04,,,,,铁,,,,,
TUXL-1-0-05,TUXL-01-30-05,,,,,铁,,,,,
TUXL-1-0-06,TUXL-01-30-06,,,,,铁,,,,,
TUXL-1-0-07,TUXL-01-30-07,,,,,铁,,,,,
TUXL-1-0-08,TUXL-01-30-08,,,,,铁,,,,,
ZSBK-1-0-01,ZSBK-01-30-01,,,,,铁,,,,,
ZSBK-1-0-02,ZSBK-01-30-02,,,,,铁,,,,,
ZSBK-1-0-03,ZSBK-01-30-03,,,,,铁,,,,,
ZSBK-1-0-04,ZSBK-01-30-04,,,,,铁,,,,,
ZSBK-1-0-05,ZSBK-01-30-05,,,,,铁,,,,,
ZSBK-1-0-06,ZSBK-01-30-06,,,,,铁,,,,,
ZSBK-1-0-07,ZSBK-01-30-07,,,,,铁,,,,,
ZSBK-1-0-08,ZSBK-01-30-08,,,,,铁,,,,,
ZSBK-2-0-01,ZSBK-02-30-01,,,,,铁,,,,,
ZSBK-2-0-02,ZSBK-02-30-02,,,,,铁,,,,,
ZSBK-2-0-03,ZSBK-02-30-03,,,,,铁,,,,,
ZSBK-2-0-04,ZSBK-02-30-04,,,,,铁,,,,,
ZSBK-2-0-05,ZSBK-02-30-05,,,,,铁,,,,,
ZSBK-2-0-06,ZSBK-02-30-06,,,,,铁,,,,,
ZSBK-2-0-07,ZSBK-02-30-07,,,,,铁,,,,,
ZSBK-2-0-08,ZSBK-02-30-08,,,,,铁,,,,,
TB-1-0-01,TB-01-30-01,,,,,铁,,,,,
TB-1-0-02,TB-01-30-02,,,,,铁,,,,,
TB-1-0-03,TB-01-30-03,,,,,铁,,,,,
TB-1-0-04,TB-01-30-04,,,,,铁,,,,,
TUXL-2-0-01,TUXL-02-30-01,,,,,铁,,,,,
TUXL-2-0-02,TUXL-02-30-02,,,,,铁,,,,,
TUXL-2-0-03,TUXL-02-30-03,,,,,铁,,,,,
TUXL-2-0-04,TUXL-02-30-04,,,,,铁,,,,,
TUXL-2-0-05,TUXL-02-30-05,,,,,铁,,,,,
TUXL-2-0-06,TUXL-02-30-06,,,,,铁,,,,,
TUXL-2-0-07,TUXL-02-30-07,,,,,铁,,,,,
TUXL-2-0-08,TUXL-02-30-08,,,,,铁,,,,,
GB-2-0-01,GB-02-30-01,,,,,铁,,,,,
GB-2-0-02,GB-02-30-02,,,,,铁,,,,,
GB-2-0-03,GB-02-30-03,,,,,铁,,,,,
GB-2-0-04,GB-02-30-04,,,,,铁,,,,,
GB-2-0-05,GB-02-30-05,,,,,铁,,,,,
GB-2-0-06,GB-02-30-06,,,,,铁,,,,,
GB-2-0-07,GB-02-30-07,,,,,铁,,,,,
GB-2-0-08,GB-02-30-08,,,,,铁,,,,,
YZL-2-0-01,YZL-02-30-01,,,,,铁,,,,,
YZL-2-0-02,YZL-02-30-02,,,,,铁,,,,,
YZL-2-0-03,YZL-02-30-03,,,,,铁,,,,,
YZL-2-0-04,YZL-02-30-04,,,,,铁,,,,,
YZL-2-0-05,YZL-02-30-05,,,,,铁,,,,,
YZL-2-0-06,YZL-02-30-06,,,,,铁,,,,,
YZL-2-0-07,YZL-02-30-07,,,,,铁,,,,,
YZL-2-0-08,YZL-02-30-08,,,,,铁,,,,,
DAXL-3-0-01,DAXL-03-30-01,,,,,铁,,,,,
DAXL-3-0-02,DAXL-03-30-02,,,,,铁,,,,,
DAXL-3-0-03,DAXL-03-30-03,,,,,铁,,,,,
DAXL-3-0-04,DAXL-03-30-04,,,,,铁,,,,,
DAXL-3-0-05,DAXL-03-30-05,,,,,铁,,,,,
DAXL-3-0-06,DAXL-03-30-06,,,,,铁,,,,,
DAXL-3-0-07,DAXL-03-30-07,,,,,铁,,,,,
DAXL-3-0-08,DAXL-03-30-08,,,,,铁,,,,,
ZCGT-5-0-01,ZCGT-05-30-01,,,,,铁,,,,,
ZCGT-5-0-02,ZCGT-05-30-02,,,,,铁,,,,,
ZCGT-5-0-03,ZCGT-05-30-03,,,,,铁,,,,,
ZCGT-5-0-04,ZCGT-05-30-04,,,,,铁,,,,,
ZCGT-5-0-05,ZCGT-05-30-05,,,,,铁,,,,,
ZCGT-5-0-06,ZCGT-05-30-06,,,,,铁,,,,,
ZCGT-5-0-07,ZCGT-05-30-07,,,,,铁,,,,,
ZCGT-5-0-08,ZCGT-05-30-08,,,,,铁,,,,,
ZCGT-5-0-09,ZCGT-05-30-09,,,,,铁,,,,,
ZCGT-5-0-10,ZCGT-05-30-10,,,,,铁,,,,,
ZCGT-5-0-11,ZCGT-05-30-11,,,,,铁,,,,,
ZCGT-5-0-12,ZCGT-05-30-12,,,,,铁,,,,,
ZCGT-5-0-13,ZCGT-05-30-13,,,,,铁,,,,,
ZCGT-5-0-14,ZCGT-05-30-14,,,,,铁,,,,,
ZCGT-5-0-15,ZCGT-05-30-15,,,,,铁,,,,,
ZCGT-5-0-16,ZCGT-05-30-16,,,,,铁,,,,,
ZCGT-5-0-17,ZCGT-05-30-17,,,,,铁,,,,,
ZCGT-5-0-18,ZCGT-05-30-18,,,,,铁,,,,,
ZCGT-5-0-19,ZCGT-05-30-19,,,,,铁,,,,,
ZCGT-5-0-20,ZCGT-05-30-20,,,,,铁,,,,,
ZCGT-5-0-21,ZCGT-05-30-21,,,,,铁,,,,,
ZCGT-5-0-22,ZCGT-05-30-22,,,,,铁,,,,,
ZCGT-5-0-23,ZCGT-05-30-23,,,,,铁,,,,,
ZCGT-5-0-24,ZCGT-05-30-24,,,,,铁,,,,,
ZGT-4-0-01,ZGT-04-30-01,,,,,铁,,,,,
ZGT-4-0-02,ZGT-04-30-02,,,,,铁,,,,,
ZGT-4-0-03,ZGT-04-30-03,,,,,铁,,,,,
ZGT-4-0-04,ZGT-04-30-04,,,,,铁,,,,,
ZGT-4-0-05,ZGT-04-30-05,,,,,铁,,,,,
ZGT-4-0-06,ZGT-04-30-06,,,,,铁,,,,,
ZGT-4-0-07,ZGT-04-30-07,,,,,铁,,,,,
ZGT-4-0-08,ZGT-04-30-08,,,,,铁,,,,,
TXL-3-0-01,TXL-04-30-01,,,,,铁,,,,,
TXL-3-0-02,TXL-04-30-02,,,,,铁,,,,,
TXL-3-0-03,TXL-04-30-03,,,,,铁,,,,,
TXL-3-0-04,TXL-04-30-04,,,,,铁,,,,,
TXL-3-0-05,TXL-04-30-05,,,,,铁,,,,,
TXL-3-0-06,TXL-04-30-06,,,,,铁,,,,,
TXWL-3-0-01,TXWL-03-30-01,,,,,铁,,,,,
TXWL-3-0-02,TXWL-03-30-02,,,,,铁,,,,,
TXWL-3-0-03,TXWL-03-30-03,,,,,铁,,,,,
TXWL-3-0-04,TXWL-03-30-04,,,,,铁,,,,,
TXWL-3-0-05,TXWL-03-30-05,,,,,铁,,,,,
TXWL-3-0-06,TXWL-03-30-06,,,,,铁,,,,,
TXWL-3-0-07,TXWL-03-30-07,,,,,铁,,,,,
TXWL-3-0-08,TXWL-03-30-08,,,,,铁,,,,,
TXWL-3-0-09,TXWL-03-30-09,,,,,铁,,,,,
TXWL-3-0-10,TXWL-03-30-10,,,,,铁,,,,,
TXWL-3-0-11,TXWL-03-30-11,,,,,铁,,,,,
TXWL-3-0-12,TXWL-03-30-12,,,,,铁,,,,,
TXWL-3-0-13,TXWL-03-30-13,,,,,铁,,,,,
TXWL-3-0-14,TXWL-03-30-14,,,,,铁,,,,,
TXWL-3-0-15,TXWL-03-30-15,,,,,铁,,,,,
TXWL-3-0-16,TXWL-03-30-16,,,,,铁,,,,,
SGL-2-0-01,SGL-02-30-01,,,,,铁,,,,,
SGL-2-0-02,SGL-02-30-02,,,,,铁,,,,,
SGL-2-0-03,SGL-02-30-03,,,,,铁,,,,,
SGL-2-0-04,SGL-02-30-04,,,,,铁,,,,,
SGL-2-0-05,SGL-02-30-05,,,,,铁,,,,,
SGL-2-0-06,SGL-02-30-06,,,,,铁,,,,,
TP-4-0-01,TP-04-30-01,,,,,铁,,,,,
SXZ-2-0-01,SXZ-02-30-01,,,,,铁,,,,,
SXZ-2-0-02,SXZ-02-30-02,,,,,铁,,,,,
SXZ-2-0-03,SXZ-02-30-03,,,,,铁,,,,,
SXZ-2-0-04,SXZ-02-30-04,,,,,铁,,,,,
SXZ-2-0-05,SXZ-02-30-05,,,,,铁,,,,,
SXZ-2-0-06,SXZ-02-30-06,,,,,铁,,,,,
SXZ-2-0-07,SXZ-02-30-07,,,,,铁,,,,,
SXZ-2-0-08,SXZ-02-30-08,,,,,铁,,,,,
TP-5-0-01,TP-05-30-01,,,,,铁,,,,,
PCC-01-11-01,PCC-01-11-01,平层窗,01,11,,铁,,,,,
PCC-02-11-01,PCC-02-11-01,平层窗,02,11,,铁,,,,,
PCC-03-11-01,PCC-03-11-01,平层窗,03,11,,铁,,,,,
PCC-04-11-01,PCC-04-11-01,平层窗,04,11,,铁,,,,,
PCC-05-11-01,PCC-05-11-01,平层窗,05,11,,铁,,,,,
PCC-06-11-01,PCC-06-11-01,平层窗,06,11,,铁,,,,,
PCM-01-12-01,PCM-01-12-01,平层门,01,12,,铁,,,,,
PCC-01-13-01,PCC-01-13-01,平层窗,01,13,,铁,,,,,
PCC-02-13-01,PCC-02-13-01,平层窗,02,13,,铁,,,,,
PCC-03-13-01,PCC-03-13-01,平层窗,03,13,,铁,,,,,
PCC-04-13-01,PCC-04-13-01,平层窗,04,13,,铁,,,,,
PCC-05-13-01,PCC-05-13-01,平层窗,05,13,,铁,,,,,
PCC-06-13-01,PCC-06-13-01,平层窗,06,13,,铁,,,,,
PCM-02-51-01,PCM-02-51-01,平层门,02,51,,铁,,,,,
PCC-01-52-01,PCC-01-52-01,平层窗,01,52,,铁,,,,,
PCC-02-52-01,PCC-02-52-01,平层窗,02,52,,铁,,,,,
PCC-03-52-01,PCC-03-52-01,平层窗,03,52,,铁,,,,,
PCC-04-52-01,PCC-04-52-01,平层窗,04,52,,铁,,,,,
PCC-05-52-01,PCC-05-52-01,平层窗,05,52,,铁,,,,,
PCC-06-52-01,PCC-06-52-01,平层窗,06,52,,铁,,,,,
PCC-01-53-01,PCC-01-53-01,平层窗,01,53,,铁,,,,,
PCC-02-53-01,PCC-02-53-01,平层窗,02,53,,铁,,,,,
PCC-03-53-01,PCC-03-53-01,平层窗,03,53,,铁,,,,,
PCC-04-53-01,PCC-04-53-01,平层窗,04,53,,铁,,,,,
PCC-05-53-01,PCC-05-53-01,平层窗,05,53,,铁,,,,,
PCC-06-53-01,PCC-06-53-01,平层窗,06,53,,铁,,,,,
PCC-01-54-01,PCC-01-54-01,平层窗,01,54,,铁,,,,,
PCC-02-54-01,PCC-02-54-01,平层窗,02,54,,铁,,,,,
PCC-03-54-01,PCC-03-54-01,平层窗,03,54,,铁,,,,,
PCC-04-54-01,PCC-04-54-01,平层窗,04,54,,铁,,,,,
PCC-05-54-01,PCC-05-54-01,平层窗,05,54,,铁,,,,,
PCC-06-54-01,PCC-06-54-01,平层窗,06,54,,铁,,,,,
PCC-01-55-01,PCC-01-55-01,平层窗,01,55,,铁,,,,,
PCC-02-55-01,PCC-02-55-01,平层窗,02,55,,铁,,,,,
PCC-03-55-01,PCC-03-55-01,平层窗,03,55,,铁,,,,,
PCC-04-55-01,PCC-04-55-01,平层窗,04,55,,铁,,,,,
PCC-05-55-01,PCC-05-55-01,平层窗,05,55,,铁,,,,,
PCC-06-55-01,PCC-06-55-01,平层窗,06,55,,铁,,,,,
PCM-03-21-01,PCM-03-21-01,平层门,03,21,,铁,,,,,
PCC-01-62-01,PCC-01-62-01,平层窗,01,62,,铁,,,,,
PCC-02-62-01,PCC-02-62-01,平层窗,02,62,,铁,,,,,
PCC-03-62-01,PCC-03-62-01,平层窗,03,62,,铁,,,,,
PCC-04-62-01,PCC-04-62-01,平层窗,04,62,,铁,,,,,
PCC-05-62-01,PCC-05-62-01,平层窗,05,62,,铁,,,,,
PCC-06-62-01,PCC-06-62-01,平层窗,06,62,,铁,,,,,
PCC-01-63-01,PCC-01-63-01,平层窗,01,63,,铁,,,,,
PCC-02-63-01,PCC-02-63-01,平层窗,02,63,,铁,,,,,
PCC-03-63-01,PCC-03-63-01,平层窗,03,63,,铁,,,,,
PCC-04-63-01,PCC-04-63-01,平层窗,04,63,,铁,,,,,
PCC-05-63-01,PCC-05-63-01,平层窗,05,63,,铁,,,,,
PCC-06-63-01,PCC-06-63-01,平层窗,06,63,,铁,,,,,
PCC-01-64-01,PCC-01-64-01,平层窗,01,64,,铁,,,,,
PCC-02-64-01,PCC-02-64-01,平层窗,02,64,,铁,,,,,
PCC-03-64-01,PCC-03-64-01,平层窗,03,64,,铁,,,,,
PCC-04-64-01,PCC-04-64-01,平层窗,04,64,,铁,,,,,
PCC-05-64-01,PCC-05-64-01,平层窗,05,64,,铁,,,,,
PCC-06-64-01,PCC-06-64-01,平层窗,06,64,,铁,,,,,
PCC-01-65-01,PCC-01-65-01,平层窗,01,65,,铁,,,,,
PCC-02-65-01,PCC-02-65-01,平层窗,02,65,,铁,,,,,
PCC-03-65-01,PCC-03-65-01,平层窗,03,65,,铁,,,,,
PCC-04-65-01,PCC-04-65-01,平层窗,04,65,,铁,,,,,
PCC-05-65-01,PCC-05-65-01,平层窗,05,65,,铁,,,,,
PCC-06-65-01,PCC-06-65-01,平层窗,06,65,,铁,,,,,
PCC-01-66-01,PCC-01-66-01,平层窗,01,66,,铁,,,,,
PCC-02-66-01,PCC-02-66-01,平层窗,02,66,,铁,,,,,
PCC-03-66-01,PCC-03-66-01,平层窗,03,66,,铁,,,,,
PCC-04-66-01,PCC-04-66-01,平层窗,04,66,,铁,,,,,
PCC-05-66-01,PCC-05-66-01,平层窗,05,66,,铁,,,,,
PCC-06-66-01,PCC-06-66-01,平层窗,06,66,,铁,,,,,
PCC-01-31-01,PCC-01-31-01,平层窗,01,31,,铁,,,,,
PCC-02-31-01,PCC-02-31-01,平层窗,02,31,,铁,,,,,
PCC-03-31-01,PCC-03-31-01,平层窗,03,31,,铁,,,,,
PCC-04-31-01,PCC-04-31-01,平层窗,04,31,,铁,,,,,
PCC-05-31-01,PCC-05-31-01,平层窗,05,31,,铁,,,,,
PCC-06-31-01,PCC-06-31-01,平层窗,06,31,,铁,,,,,
PCM-01-32-01,PCM-01-32-01,平层门,01,32,,铁,,,,,
PCC-01-33-01,PCC-01-33-01,平层窗,01,33,,铁,,,,,
PCC-02-33-01,PCC-02-33-01,平层窗,02,33,,铁,,,,,
PCC-03-33-01,PCC-03-33-01,平层窗,03,33,,铁,,,,,
PCC-04-33-01,PCC-04-33-01,平层窗,04,33,,铁,,,,,
PCC-05-33-01,PCC-05-33-01,平层窗,05,33,,铁,,,,,
PCC-06-33-01,PCC-06-33-01,平层窗,06,33,,铁,,,,,
PCC-01-72-01,PCC-01-72-01,平层窗,01,72,,铁,,,,,
PCC-02-72-01,PCC-02-72-01,平层窗,02,72,,铁,,,,,
PCC-03-72-01,PCC-03-72-01,平层窗,03,72,,铁,,,,,
PCC-04-72-01,PCC-04-72-01,平层窗,04,72,,铁,,,,,
PCC-05-72-01,PCC-05-72-01,平层窗,05,72,,铁,,,,,
PCC-06-72-01,PCC-06-72-01,平层窗,06,72,,铁,,,,,
PCC-01-73-01,PCC-01-73-01,平层窗,01,73,,铁,,,,,
PCC-02-73-01,PCC-02-73-01,平层窗,02,73,,铁,,,,,
PCC-03-73-01,PCC-03-73-01,平层窗,03,73,,铁,,,,,
PCC-04-73-01,PCC-04-73-01,平层窗,04,73,,铁,,,,,
PCC-05-73-01,PCC-05-73-01,平层窗,05,73,,铁,,,,,
PCC-06-73-01,PCC-06-73-01,平层窗,06,73,,铁,,,,,
PCC-01-74-01,PCC-01-74-01,平层窗,01,74,,铁,,,,,
PCC-02-74-01,PCC-02-74-01,平层窗,02,74,,铁,,,,,
PCC-03-74-01,PCC-03-74-01,平层窗,03,74,,铁,,,,,
PCC-04-74-01,PCC-04-74-01,平层窗,04,74,,铁,,,,,
PCC-05-74-01,PCC-05-74-01,平层窗,05,74,,铁,,,,,
PCC-06-74-01,PCC-06-74-01,平层窗,06,74,,铁,,,,,
PCC-01-75-01,PCC-01-75-01,平层窗,01,75,,铁,,,,,
PCC-02-75-01,PCC-02-75-01,平层窗,02,75,,铁,,,,,
PCC-03-75-01,PCC-03-75-01,平层窗,03,75,,铁,,,,,
PCC-04-75-01,PCC-04-75-01,平层窗,04,75,,铁,,,,,
PCC-05-75-01,PCC-05-75-01,平层窗,05,75,,铁,,,,,
PCC-06-75-01,PCC-06-75-01,平层窗,06,75,,铁,,,,,
PCC-01-76-01,PCC-01-76-01,平层窗,01,76,,铁,,,,,
PCC-02-76-01,PCC-02-76-01,平层窗,02,76,,铁,,,,,
PCC-03-76-01,PCC-03-76-01,平层窗,03,76,,铁,,,,,
PCC-04-76-01,PCC-04-76-01,平层窗,04,76,,铁,,,,,
PCC-05-76-01,PCC-05-76-01,平层窗,05,76,,铁,,,,,
PCC-06-76-01,PCC-06-76-01,平层窗,06,76,,铁,,,,,
PCM-03-41-01,PCM-03-41-01,平层门,03,41,,铁,,,,,
PCC-01-81-01,PCC-01-81-01,平层窗,01,81,,铁,,,,,
PCC-02-81-01,PCC-02-81-01,平层窗,02,81,,铁,,,,,
PCC-03-81-01,PCC-03-81-01,平层窗,03,81,,铁,,,,,
PCC-04-81-01,PCC-04-81-01,平层窗,04,81,,铁,,,,,
PCC-05-81-01,PCC-05-81-01,平层窗,05,81,,铁,,,,,
PCC-06-81-01,PCC-06-81-01,平层窗,06,81,,铁,,,,,
PCC-01-82-01,PCC-01-82-01,平层窗,01,82,,铁,,,,,
PCC-02-82-01,PCC-02-82-01,平层窗,02,82,,铁,,,,,
PCC-03-82-01,PCC-03-82-01,平层窗,03,82,,铁,,,,,
PCC-04-82-01,PCC-04-82-01,平层窗,04,82,,铁,,,,,
PCC-05-82-01,PCC-05-82-01,平层窗,05,82,,铁,,,,,
PCC-06-82-01,PCC-06-82-01,平层窗,06,82,,铁,,,,,
PCC-01-83-01,PCC-01-83-01,平层窗,01,83,,铁,,,,,
PCC-02-83-01,PCC-02-83-01,平层窗,02,83,,铁,,,,,
PCC-03-83-01,PCC-03-83-01,平层窗,03,83,,铁,,,,,
PCC-04-83-01,PCC-04-83-01,平层窗,04,83,,铁,,,,,
PCC-05-83-01,PCC-05-83-01,平层窗,05,83,,铁,,,,,
PCC-06-83-01,PCC-06-83-01,平层窗,06,83,,铁,,,,,
PCC-01-84-01,PCC-01-84-01,平层窗,01,84,,铁,,,,,
PCC-02-84-01,PCC-02-84-01,平层窗,02,84,,铁,,,,,
PCC-03-84-01,PCC-03-84-01,平层窗,03,84,,铁,,,,,
PCC-04-84-01,PCC-04-84-01,平层窗,04,84,,铁,,,,,
PCC-05-84-01,PCC-05-84-01,平层窗,05,84,,铁,,,,,
PCC-06-84-01,PCC-06-84-01,平层窗,06,84,,铁,,,,,
PCM-02-85-01,PCM-02-85-01,平层门,02,85,,铁,,,,,
PCQ-01-11-01,PCQ-01-11-01,平层墙,01,11,,石,,,,,
PCQ-01-11-02,PCQ-01-11-02,平层墙,01,11,,石,,,,,
PCQ-01-11-03,PCQ-01-11-03,平层墙,01,11,,石,,,,,
PCQ-02-11-01,PCQ-02-11-01,平层墙,02,11,,石,,,,,
PCQ-02-11-02,PCQ-02-11-02,平层墙,02,11,,石,,,,,
PCQ-03-11-01,PCQ-03-11-01,平层墙,03,11,,石,,,,,
PCQ-03-11-02,PCQ-03-11-02,平层墙,03,11,,石,,,,,
PCQ-04-11-01,PCQ-04-11-01,平层墙,04,11,,石,,,,,
PCQ-04-11-02,PCQ-04-11-02,平层墙,04,11,,石,,,,,
PCQ-06-11-01,PCQ-06-11-01,平层墙,06,11,,石,,,,,
PCQ-06-11-02,PCQ-06-11-02,平层墙,06,11,,石,,,,,
PCQ-01-12-01,PCQ-01-12-01,平层墙,01,12,,石,,,,,
PCQ-01-12-02,PCQ-01-12-02,平层墙,01,12,,石,,,,,
PCQ-01-12-03,PCQ-01-12-03,平层墙,01,12,,石,,,,,
PCQ-01-12-04,PCQ-01-12-04,平层墙,01,12,,石,,,,,
PCQ-01-12-05,PCQ-01-12-05,平层墙,01,12,,石,,,,,
PCQ-02-12-01,PCQ-02-12-01,平层墙,02,12,,石,,,,,
PCQ-02-12-02,PCQ-02-12-02,平层墙,02,12,,石,,,,,
PCQ-03-12-01,PCQ-03-12-01,平层墙,03,12,,石,,,,,
PCQ-03-12-02,PCQ-03-12-02,平层墙,03,12,,石,,,,,
PCQ-03-12-03,PCQ-03-12-03,平层墙,03,12,,石,,,,,
PCQ-07-12-01,PCQ-07-12-01,平层墙,07,12,,石,,,,,
PCQ-07-12-02,PCQ-07-12-02,平层墙,07,12,,石,,,,,
PCQ-08-12-01,PCQ-08-12-01,平层墙,08,12,,石,,,,,
PCQ-08-12-02,PCQ-08-12-02,平层墙,08,12,,石,,,,,
PCQ-01-13-01,PCQ-01-13-01,平层墙,01,13,,石,,,,,
PCQ-01-13-02,PCQ-01-13-02,平层墙,01,13,,石,,,,,
PCQ-01-13-03,PCQ-01-13-03,平层墙,01,13,,石,,,,,
PCQ-02-13-01,PCQ-02-13-01,平层墙,02,13,,石,,,,,
PCQ-02-13-02,PCQ-02-13-02,平层墙,02,13,,石,,,,,
PCQ-03-13-01,PCQ-03-13-01,平层墙,03,13,,石,,,,,
PCQ-03-13-02,PCQ-03-13-02,平层墙,03,13,,石,,,,,
PCQ-04-13-01,PCQ-04-13-01,平层墙,04,13,,石,,,,,
PCQ-04-13-02,PCQ-04-13-02,平层墙,04,13,,石,,,,,
PCQ-06-13-01,PCQ-06-13-01,平层墙,06,13,,石,,,,,
PCQ-06-13-02,PCQ-06-13-02,平层墙,06,13,,石,,,,,
PCQ-01-51-01,PCQ-01-51-01,平层墙,01,51,,石,,,,,
PCQ-02-51-01,PCQ-02-51-01,平层墙,02,51,,石,,,,,
PCQ-02-51-02,PCQ-02-51-02,平层墙,02,51,,石,,,,,
PCQ-03-51-01,PCQ-03-51-01,平层墙,03,51,,石,,,,,
PCQ-03-51-02,PCQ-03-51-02,平层墙,03,51,,石,,,,,
PCQ-03-51-03,PCQ-03-51-03,平层墙,03,51,,石,,,,,
PCQ-01-52-01,PCQ-01-52-01,平层墙,01,52,,石,,,,,
PCQ-01-52-02,PCQ-01-52-02,平层墙,01,52,,石,,,,,
PCQ-01-52-03,PCQ-01-52-03,平层墙,01,52,,石,,,,,
PCQ-02-52-01,PCQ-02-52-01,平层墙,02,52,,石,,,,,
PCQ-02-52-02,PCQ-02-52-02,平层墙,02,52,,石,,,,,
PCQ-03-52-01,PCQ-03-52-01,平层墙,03,52,,石,,,,,
PCQ-03-52-02,PCQ-03-52-02,平层墙,03,52,,石,,,,,
