模型编号（rhino中对应编号，表单中表头、值均不显示）,构件编号（表单中显示）,构件类别,构件类型,方位,所属部件,材质类别,材质类型,保存状态,病害类型,干预情况,备注
TXL-01-20-05,TXL-01-20-05,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-06,TXL-01-20-06,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-07,TXL-01-20-07,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-08,TXL-01-20-08,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-09,TXL-01-20-09,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-10,TXL-01-20-10,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-11,TXL-01-20-11,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-12,TXL-01-20-12,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-13,TXL-01-20-13,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-14,TXL-01-20-14,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-15,TXL-01-20-15,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-16,TXL-01-20-16,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-17,TXL-01-20-17,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-18,TXL-01-20-18,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-19,TXL-01-20-19,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-20,TXL-01-20-20,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-21,TXL-01-20-21,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-22,TXL-01-20-22,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-23,TXL-01-20-23,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-24,TXL-01-20-24,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-25,TXL-01-20-25,粱,一类T型粱,,,铁,锻铁,,,,
TXL-01-20-26,TXL-01-20-26,粱,一类T型粱,,,铁,锻铁,,,,
